Participating unions,Total elections,Elections won by unions / Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Teamsters,Elections won by unions / Other national unions,Elections in which no representative chosen / Other local unions,Employees eligible to vote / Elections in which no representative chosen,Employees eligible to vote / Total,Employees eligible to vote / AFL-CIO unions,Employees eligible to vote / Teamsters,Employees eligible to vote / Other national unions,In units won by unions / Other local unions,In units won by unions / Total,In units won by unions / AFL-CIO unions,In units won by unions / Teamsters,In units won by unions / Other national unions,In elections where no representative chosen / Other local unions,In elections where no representative chosen
Total RM elections (section C),87,25.3,22,16,5,1,0,65,2054,821,396,316,0,0,1233,,,,
1-union elections (section D - RD cases),583,28.6,167,122,36,3,6,416,30085,13754,11557,1502,365,330,16331,,,,
Detailed,,,,,,,,,,,,,,,,,,,
