Participating unions,Number of elections,Elections won by / A.F. of L. affiliates / Number,Elections won by / A.F. of L. affiliates / Percent,Elections won by / C.I.O. affiliates / Number,Elections won by / C.I.O. affiliates / Percent,Elections won by / Unaffiliated unions / Number,Elections won by / Unaffiliated unions / Percent,Elections won by / No union / Number,Elections won by / No union / Percent,Eligible voters / Total / Number,Eligible voters / Percent voting (turnout) / Percent,Valid votes cast for / Total / Number,Valid votes cast for / Percent (etc) / Percent
Total,3222,1188,36.9,552,17.1,617,19.1,865,26.8,384565,,333900,
A.F. of L. affiliates,1507,1018,67.5,,,,,,,,,,
C.I.O. affiliates,672,,,507,69.0,,,,,,,,
Unaffiliated unions,,,,,,511,75.9,,,,,,
A.F. of L. + C.I.O. affiliates,188,93,49.5,82,43.6,,,,,,,,
A.F. of L. + Unaffiliated unions,163,85,,,,67,35.3,,,,,,
C.I.O. + Unaffiliated unions,,,,,,,,,,,,,
A.F. of L. + C.I.O. + Unaffiliated unions,9,4,,,,1,11.1,,,,,,
