row_label,Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Teamsters,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Total votes for no union,Eligible employees in elections in which representative chosen
New England (subtotal RC),238,136,71,44,1,20,102,16719,12961,6832,2968,1338,99,2512,6100,9902,
Middle Atlantic (subtotal RC — NY/NJ/PA),716,361,206,91,10,54,355,37971,30919,17315,9762,2545,209,839,14178,15816,
East North Central (subtotal RC — OH/IN/IL/MI/WI),759,328,176,102,11,49,431,38773,27506,12872,8455,2167,467,1803,14584,11189,
West North Central (subtotal RC — MN/IA/MO/ND/SD/NE/KS),260,126,76,42,3,5,134,10187,9115,5040,3449,1179,60,254,4075,4394,
