Status,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
"All cases — Pending July 1, 1971",11232,4673,1347,527,429,2840,1416
All cases — Received fiscal 1972,41039,14395,5840,1614,1327,12943,5020
All cases — On docket fiscal 1972,52271,19068,7187,2041,1756,15783,6436
All cases — Closed fiscal 1972,39474,13644,5679,1522,1255,12348,5026
"All cases — Pending June 30, 1972",12797,5424,1508,519,501,3435,1410
"Unfair labor practice cases — Pending July 1, 1971",8206,3124,696,333,270,2616,1167
Unfair labor practice cases — Received fiscal 1972,26852,7724,2065,739,669,11665,3990
Unfair labor practice cases — On docket fiscal 1972,35058,10848,2761,1072,939,14281,5157
Unfair labor practice cases — Closed fiscal 1972,26555,7142,2031,741,629,11079,3933
"Unfair labor practice cases — Pending June 30, 1972",9503,3706,730,331,310,3202,1224
"Representation cases — Pending July 1, 1971",2927,1518,649,190,156,184,230
Representation cases — Received fiscal 1972,13711,6514,3784,759,632,1087,965
Representation cases — On docket fiscal 1972,16638,8032,4403,949,788,1271,1195
Representation cases — Closed fiscal 1972,13438,6248,3631,765,600,1070,1024
"Representation cases — Pending June 30, 1972",3200,1684,772,184,188,201,171
"Union-shop deauthorization cases — Pending July 1, 1971",38,,,,,38,
Union-shop deauthorization cases — Received fiscal 1972,172,,,,,172,
Union-shop deauthorization cases — On docket fiscal 1972,210,,,,,210,
Union-shop deauthorization cases — Closed fiscal 1972,180,,,,,180,
"Union-shop deauthorization cases — Pending June 30, 1972",30,,,,,30,
"Amendment of certification cases — Pending July 1, 1971",11,8,1,1,1,0,0
Amendment of certification cases — Received fiscal 1972,83,46,5,8,11,9,4
Amendment of certification cases — On docket fiscal 1972,94,54,6,9,11,10,4
Amendment of certification cases — Closed fiscal 1972,80,47,4,6,10,9,4
"Amendment of certification cases — Pending June 30, 1972",14,7,2,3,1,1,0
"Unit clarification cases — Pending July 1, 1971",50,23,1,3,3,1,19
Unit clarification cases — Received fiscal 1972,221,111,16,8,15,10,61
Unit clarification cases — On docket fiscal 1972,271,134,17,11,18,11,80
Unit clarification cases — Closed fiscal 1972,221,107,13,8,16,10,65
"Unit clarification cases — Pending June 30, 1972",50,27,4,3,2,1,15
