Industrial group,Number of elections / Total,Number of elections / AFL affiliates,Number of elections / CIO affiliates,Number of elections / Unaffiliated unions,Number of elections / In which no representative was chosen,Eligible voters,Valid votes cast
Total,6050,2750,1114,486,1700,737966,639729
Manufacturing,4129,1765,876,366,1122,612252,537487
Ordnance and accessories,62,44,7,8,3,11656,9380
Food and kindred products,583,239,101,61,121,56459,48715
Tobacco manufactures,9,1,5,1,2,3557,3199
Textile mill products,165,65,32,17,51,28600,24754
Apparel and other finished products made from fabrics and similar materials,106,35,31,8,33,15006,13387
Lumber and wood products,210,88,39,6,57,22545,18830
Furniture and fixtures,144,82,36,4,11,11826,10683
Paper and allied products,158,84,27,9,33,19438,16482
"Printing, publishing, and allied industries",164,87,28,16,33,6387,5791
Chemicals and allied products,293,122,57,29,85,39023,35317
Products of petroleum and coal,81,27,17,9,28,3872,3315
Rubber products,60,17,8,3,12,4948,4286
Leather and leather products,60,14,12,11,13,10140,9131
"Stone, clay, and glass products",151,69,35,12,35,12078,10763
Primary metal industries,239,88,52,12,54,31615,28296
Fabricated metal products (except machinery and transportation equipment),377,160,80,25,112,40510,35699
Machinery (except electrical),462,191,89,55,127,60041,54573
"Electrical machinery, equipment, and supplies",269,112,38,20,67,96670,84927
Transportation equipment,289,96,82,35,76,65783,57696
Aircraft and parts,126,30,36,17,43,36322,32377
Ship and boat building and repairing,40,26,5,5,4,7991,6538
Automotive and other transportation equipment,123,40,41,13,29,21260,18381
"Professional, scientific, and controlling instruments",53,21,14,7,11,5737,5301
Miscellaneous manufacturing,184,83,36,13,53,15817,14070
Fisheries,1,1,0,0,0,1350,936
Mining,99,40,23,9,27,11309,9832
Construction,108,74,6,6,22,6494,4686
Wholesale trade,446,230,46,30,123,20230,15393
Retail trade,583,295,57,17,214,32014,26145
"Finance, insurance, and real estate",16,10,1,0,5,1392,1274
"Transportation, communication, and other public utilities",507,221,67,41,148,43048,30928
Highway passenger transportation,30,15,2,1,12,2550,2281
Highway freight transportation,133,66,14,11,42,3810,3368
Water transportation,32,10,5,5,9,1688,1506
Warehousing and storage,71,32,8,3,20,3047,2623
Other transportation,14,7,3,0,4,881,773
Communication,113,58,27,1,27,23194,16736
"Heat, light, power, water, and sanitary services",108,59,8,3,28,11680,10530
Services,161,86,16,10,39,6909,5686
