Size of establishment (number of employees),Total - Total number of situations,Total - Percent of total situations,Type of situations - CA - Number of situations,Type of situations - CA - Percent by class,Type of situations - CB - Number of situations,Type of situations - CB - Percent by class,Type of situations - CC - Number of situations,Type of situations - CC - Percent by class,Type of situations - CD - Number of situations,Type of situations - CD - Percent by class,Type of situations - CE - Number of situations,Type of situations - CE - Percent by class,Type of situations - CG - Number of situations,Type of situations - CG - Percent by class,Type of situations - CP - Number of situations,Type of situations - CP - Percent by class,Type of situations - CA-CB combinations - Number of situations,Type of situations - CA-CB combinations - Percent by class,Type of situations - Other C combinations - Number of situations,Type of situations - Other C combinations - Percent by class
Totals,50177,100.0,22658,100.0,5776,100.0,118,100.0,119,100.0,29,100.0,31,100.0,119,100.0,565,100.0,17,100.0
ALL SIZE-CLASS ROWS UNDER 10 THROUGH 2000-2999,,,,,,,,,,,,,,,,,,,,
