Division and State 1,Total,Number of elections in which representation rights were won by — AFL affiliates,Number of elections in which representation rights were won by — CIO affiliates,Number of elections in which representation rights were won by — AFL-CIO affiliates,Number of elections in which representation rights were won by — Unaffiliated unions,In which no representative was chosen,Employees eligible to vote,Total valid votes cast,Valid votes cast for — AFL affiliates,Valid votes cast for — CIO affiliates,Valid votes cast for — AFL-CIO affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — no union,Employees in units selecting representation
South Atlantic states detail (DC/VA/WV/NC/SC/GA/FL),,,,,,,,,,,,,,
East South Central,225,56,14,86,4,65,28001,26707,1908,1939,7168,2472,13180,11438
West South Central,370,83,35,121,11,120,33357,30118,5311,3628,7261,1849,12118,18533
Mountain,217,50,17,74,4,72,18920,16795,2871,2771,3419,2816,4851,11748
Pacific,524,126,33,161,27,178,44838,36499,7176,3411,13261,8160,10842,32671
Outlying areas,82,9,11,23,16,23,5568,4838,102,1261,1316,871,977,4467
