row_label,Objections filed,Objections withdrawn,Objections ruled upon,Overruled / Number,Overruled / Percent of total ruled upon,Sustained / Number,Sustained / Percent of total ruled upon
All representation elections,1310,178,1132,925,81.7,207,18.3
By type of case,,,,,,,
RC cases,1197,166,1031,833,80.8,198,19.2
RM cases,40,5,35,31,88.6,4,11.4
RD cases,73,7,66,61,92.4,5,7.6
By type of election,,,,,,,
Consent elections,58,11,47,36,76.6,11,23.4
Stipulated elections,884,129,755,619,82.0,136,18.0
Expedited elections,6,1,5,5,100.0,0,
Regional director-directed elections,346,35,311,253,81.4,58,18.6
Board-directed elections,16,2,14,12,85.7,2,14.3
