Industrial group,All cases,All C cases,CA cases,CB cases,CC cases,CD cases,CE cases,CP cases,All R cases,RC cases,RM cases,RD cases
Construction,2514,2247,688,696,551,174,8,130,267,225,39,3
Wholesale trade,1757,775,545,144,52,3,4,27,982,831,80,71
Retail trade,3086,1394,1080,196,58,10,2,48,1692,1324,260,108
"Finance, insurance, and real estate",168,88,58,12,13,1,,4,80,74,4,2
"Transportation, communication, and other public utilities",2969,1790,1136,449,152,23,12,18,1179,1033,82,64
Local passenger transportation,217,119,94,23,1,0,0,1,98,83,12,3
"Motor freight, warehousing, and transportation services",1818,1056,699,233,92,9,10,13,762,677,50,35
Water transportation,402,331,125,155,41,6,0,4,71,51,14,6
Other transportation,67,39,24,8,6,0,0,1,28,25,1,2
Communications,275,162,132,19,6,7,0,1,113,91,10,12
"Heat, light, power, water, and sanitary services",190,83,62,11,5,5,0,0,107,93,4,10
Services,1739,977,693,193,46,14,8,23,762,687,45,30
