Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case / CA,Formal actions taken by type of case / CB,Formal actions taken by type of case / CC,Formal actions taken by type of case / Jurisdictional disputes CD,Formal actions taken by type of case / Unfair labor practices,Formal actions taken by type of case / CE,Formal actions taken by type of case / CG,Formal actions taken by type of case / CP,Formal actions taken by type of case / CA combined with CB,Formal actions taken by type of case / C combined with representation cases,Other C combinations
10(k) notices of hearings issued,54,54,,,,54,,,,,,,
Complaints issued,4346,3539,3162,263,39,,4,5,4,5,0,0,57
Backpay specifications issued,135,90,86,3,0,,0,0,0,0,0,0,0
"Hearings completed, total",718,481,422,34,4,10,0,0,0,1,2,0,8
Hearings completed sub-detail (Initial ULP / Backpay hearings / Other hearings),,,,,,,,,,,,,
"Decisions by administrative law judges, total",741,493,453,30,5,,0,0,0,0,0,0,5
ALJ decisions sub-detail (Initial ULP / Backpay / Supplemental),,,,,,,,,,,,,
"Decisions and orders by the Board, total",758,638,,,,,,,,,,,
Board decisions sub-detail (Upon consent / Adopting ALJ decisions / Contested initial / Contested supplemental / Contested backpay),,,,,,,,,,,,,
