Industrial group,All cases / Number,All cases / Percent of total,Unfair labor practice cases / Number,Unfair labor practice cases / Percent of total,Representation cases / Number,Representation cases / Percent of total
Total,12260,100.0,3815,100.0,8445,100.0
Manufacturing,9227,75.3,2918,76.5,6309,74.7
Transportation equipment,542,4.4,192,5.0,350,4.1
Miscellaneous manufacturing,426,3.5,141,3.7,285,3.4
"Agriculture, forestry, and fishing",8,0.1,4,0.1,4,0.1
Mining,484,3.9,126,3.3,358,4.2
"Finance, insurance, and real estate",107,0.9,34,0.9,73,0.9
"Transportation, communication, and other public utilities",1051,8.6,300,7.9,761,9.0
Services,443,3.6,178,4.7,265,3.1
