Type of case or election,Objections filed,Objections withdrawn,Objections ruled upon,Overruled — Number,Overruled — Percent of total ruled upon,Sustained — Number,Sustained — Percent of total ruled upon
All representation elections,1155,256,899,678,75.4,221,24.6
By type of case — RC cases,1076,236,840,627,74.6,213,25.4
By type of case — RM cases,49,16,33,28,84.8,5,15.2
By type of case — RD cases,30,4,26,23,88.5,3,11.5
By type of election — Consent elections,146,35,111,86,77.5,25,22.5
By type of election — Stipulated elections,672,164,508,388,76.4,120,23.6
By type of election — Expedited elections,6,0,6,6,100.0,0,0.0
By type of election — Regional director-directed elections,307,52,255,181,71.0,74,29.0
By type of election — Board-directed elections,24,5,19,17,89.5,2,10.5
