Type of election,All R elections — Total elections conducted,All R elections — Elections conducted — Withdrawn or dismissed before certification,All R elections — Elections conducted — Resulting in a rerun or runoff,All R elections — Elections conducted — Resulting in certification¹,RC elections — Total elections conducted,RC elections — Withdrawn or dismissed before certification,RC elections — Resulting in a rerun or runoff,RC elections — Resulting in certification,RM elections — Total elections conducted,RM elections — Withdrawn or dismissed before certification,RM elections — Resulting in a rerun or runoff,RM elections — Resulting in certification,RD elections — Total elections conducted,RD elections — Withdrawn or dismissed before certification,RD elections — Resulting in a rerun or runoff,RD elections — Resulting in certification
All types,4259,16,90,4153,3483,16,90,3377,132,0,0,132,644,0,0,644
Rerun required,67,,,,67,,,,0,,,,0,,,
Runoff required,23,,,,23,,,,0,,,,0,,,
Consent elections,65,0,19,46,46,0,0,46,1,0,0,1,18,0,0,18
Stipulated elections,3517,16,90,3411,2872,16,90,2766,107,0,0,107,538,0,0,538
Regional Director-directed,654,0,0,654,550,0,0,550,20,0,0,20,84,0,0,84
Board-directed,13,0,0,13,9,0,0,9,0,0,0,0,4,0,0,4
Expedited—Sec. 8(b)(7)(C),10,0,0,6,6,0,0,6,4,0,0,4,0,0,0,0
