row_label,Participating unions,Total elections,Percent won,Total won,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Elections in which no representative chosen,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,In elections where no representative chosen
Total RC elections,7319,54.7,4008,2309,1151,381,211,3231,552037,279425,163635,34171,36855,45264,272612
"AFL-CIO (RM, 1-union)",215,39.5,85,85,,,,130,9036,3688,3688,,,,5862
Teamsters (RM),100,54.0,54,,54,,,65,3141,1703,,1703,,,1438
Other national unions (RM); Other local unions (RM); 1-union elections subtotal (RM); 2-union,,,,,,,,,,,,,,,
Total RM elections,381,44.6,170,95,58,8,9,211,18832,5027,2128,600,377,10821,
AFL-CIO (RD),176,27.6,47,47,,,,129,12887,6492,6492,,,,6395
Teamsters (RD); Other national unions (RD); Other local unions (RD); 1-union elections subtotal (RD); 2-union,,,,,,,,,,,,,,,
