Standard Federal Regions,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Region VI (Federal Region — Dallas: AR/LA/NM/OK/TX subtotal),1655,1495,1106,382,5,1,0,0,0,0,155,111,5,39,1,3
Region VII (Federal Region — Kansas City: IA/KS/MO/NE subtotal),936,781,627,137,9,3,0,4,1,0,144,98,8,26,0,5
Region VIII (Federal Region — Denver: CO/MT/ND/SD/UT/WY subtotal),561,477,371,104,2,0,0,0,0,0,75,58,3,14,3,6
Region IX (Federal Region — San Francisco: AZ/CA/HI/NV + insular Pacific subtotal),4991,3640,2569,958,63,15,4,21,10,0,421,322,17,82,19,10
Region X (Federal Region — Seattle: AK/ID/OR/WA subtotal),1046,845,651,155,26,6,4,1,2,0,191,153,1,37,4,6
"Total, all States and areas (US Grand Total FY2008 — Table 8 view)",25866,22479,16165,5666,361,127,63,43,54,0,3154,2416,138,600,90,14
