row_label,Cases in which formal actions taken,Total formal actions taken,CA,CB,CC,CD — Jurisdictional disputes,CD — Unfair labor practices,CE,CG,CP,CA combined with CB,C combined with representation cases,Other C combinations
10(k) notices of hearings issued,88,71,,,,71,,,,,,,
Complaints issued,7925,6260,5164,491,218,,,10,16,15,46,125,89
Backpay specifications issued,T,6,,,,,,,,,,56,
"Hearings completed, total",1841,1827,1069,100,17,39,,4,2,4,11,42,35
Hearings — Initial ULP hearings,1812,1800,1037,105,17,39,,4,2,4,11,42,35
Hearings — Backpay hearings,7,5,5,0,0,0,,0,0,0,0,0,0
Hearings — Other hearings,22,22,17,1,0,0,,0,0,0,0,0,4
"Decisions by administrative law judges, total",1910,1273,1020,104,23,,,3,4,1,14,34,65
ALJ — Initial ULP decisions,1872,1237,950,100,23,,,3,4,1,14,34,65
ALJ — Backpay decisions,13,12,11,1,0,,,0,0,0,0,0,0
ALJ — Supplemental decisions,25,24,22,0,0,,,0,0,0,0,0,3
"Decrees and orders by the Board, total",2300,1780,1409,146,55,42,,5,6,2,17,12,22
Board — Upon consent — Initial decisions,281,211,82,55,64,,,0,1,0,1,5,2
Board — Upon consent — Supplemental decisions,2,,,,,,,,,,,,
Board — Adopting ALJ — Initial ULP decisions,458,394,316,39,9,,,1,0,0,5,2,6
Board — Adopting ALJ — Backpay decisions,4,4,4,0,0,,,0,0,0,0,0,0
Board — Contested — Initial ULP decisions,1489,1125,966,44,31,,,4,2,1,6,16,14
Board — Contested — Decisions on stipulated record,18,14,9,1,1,,,0,0,0,0,1,2
Board — Contested — Supplemental ULP decisions,1,1,,,,,,,,,,,
Board — Contested — Backpay decisions,4,4,4,0,0,,,0,0,0,0,0,0
