Circuit courts of appeals (headquarters),Total fiscal year 1995,Total fiscal years 1990-1994,Affirmed in full / Fiscal year 1995 / Num- ber,Affirmed in full / Fiscal year 1995 / Per- cent,Affirmed in full / Cumulative fiscal years 1990-1994 / Num- ber,Affirmed in full / Cumulative fiscal years 1990-1994 / Per- cent,Modified / Fiscal year 1995 / Num- ber,Modified / Fiscal year 1995 / Per- cent,Modified / Cumulative fiscal years 1990-1994 / Num- ber,Modified / Cumulative fiscal years 1990-1994 / Per- cent,Remanded in part / Fiscal year 1995 / Num- ber,Remanded in part / Fiscal year 1995 / Per- cent,Remanded in part / Cumulative fiscal years 1990-1994 / Num- ber,Remanded in part / Cumulative fiscal years 1990-1994 / Per- cent,Affirmed in part and remanded in part / Fiscal year 1995 / Num- ber,Affirmed in part and remanded in part / Fiscal year 1995 / Per- cent,Affirmed in part and remanded in part / Cumulative fiscal years 1990-1994 / Num- ber,Affirmed in part and remanded in part / Cumulative fiscal years 1990-1994 / Per- cent,Set aside / Fiscal year 1995 / Num- ber,Set aside / Fiscal year 1995 / Per- cent,Set aside / Cumulative fiscal years 1990-1994 / Num- ber,Set aside / Cumulative fiscal years 1990-1994 / Per- cent
Total all circuits,120,821,73,60.8,610,74.3,10,8.3,60,7.3,9,7.5,45,5.5,4,3.3,31,3.8,24,20.0,75,9.1
"Boston, MA",4,21,4,100.0,14,66.7,0,,2,9.5,0,,0,,0,,4,19.0,0,,1,4.8
"New York, NY",11,89,8,73.8,67,76.3,0,,2,2.3,1,9.1,0,,1,9.1,5,5.7,1,9.1,6,6.8
"Philadelphia, PA",17,63,9,52.9,53,84.1,0,,0,,,,,,,,,,,,,
