row_label,col_1,col_2,col_3,col_4
Cases considered by the United States Supreme Court,1,100.0,75,100.0
Board orders enforced in full,,,53,70.7
Board orders enforced with modification,,,11,14.7
Board orders set aside,1,100.0,6,8.0
Remanded to Board,,,1,1.3
Remanded to court of appeals_,,,3,4.0
Board's request for remand or modification of enforcement order denied,,,1,1.3
