row_label,1936-47,Percent of cases closed,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,"July 1-Aug. 21, 1947"
"Total, 1936-47",43556,100.0,636,1751,5694,4230,4654,6498,5438,3884,6302,2312,2911,4014,646
"Before formal action, total",39471,90.6,531,1657,5497,3533,4132,6249,5015,3313,2279,2036,2641,3722,596
"After formal action, total",4083,9.4,105,94,207,397,522,458,541,411,286,270,292,51,
Before Board decision,1167,2.7,,,,,,,,,,,,,
After Board decision,2916,6.7,,,,,,,,,,,,,
