row_label,[Case No. — cut off],[Union and company — cut off],[Date petition filed — cut off],[Type of item — cut off],Temporary restraining order Date issued,Temporary restraining order Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
row 1 (cut-off rest),,,,,,,,,"Dec. 4, 1959",Withdrawn
row 2,,,,"Nov. 4, 1959 (consent)",,,,,,"Apr. 5, 1960"
row 3,,,"Oct. 27, 1959","Oct. 30, 1959",,,"Oct. 31, 1959",,,
Remaining ~17 rows on this page (date data continues with disposition column showing Settled / Withdrawn / Dismissed / specific dates 1959-1960),,,,,,,,,,
