row_label,col_1,col_2
Toledo Scale Co,45,472
Toledo Steel Products,45,1294
Trackson Co,49,1041
"Trailways of New England, Inc",46,310
"Triangle Publications, Inc",45,408
Trojan Powder Co,46,403
"Truck Welding Co., Inc",43,206
Tuthill Pump Co,42,333
"Twentieth-Century Fox Film Corp., New York Exchange",46,875
Twentieth Century Fox Film Corp,44,1292
Uchtorff Co,48,245
Uhlmann Grain Co,50,341
"Ulster Knife Co., Inc",50,726
Union Carbide & Carbon Corp,46,1107
"Union Diesel Engine Co., The",44,1297
"Unitcast Corp., The",42,409
"United Artists Corp., New York Exchange",46,875
United Artists Corp,44,1292
United Drug Co,47,1040
United Fuel Gas Co,50,22
United Fur Mfg. Assn,49,1405
United Gas Corp,44,994
United Illuminating Co,42,_ 1
United Mills Co,45,133
U. S. Cartridge Co,42,191
"U. S. Cartridge Co., The",45,350
U. S. Cartridge Co,45,1043
U. S. Cartridge Co,49,77
U. S. Cartridge Co,50,358
"U. S. Electrical Motors, Inc",45,298
U. S. Gypsum Co,46,23
U. S. Instrument Corp,48,40
U. S. Pipe & Foundry Co,49,625
U. S. Rubber Co,49,961
U. S. Rubber Co,50,847
U. S. Shoe Corp,43,637
U. S. Vanadium Corp,43,418
"United Wall Paner, Inc",42,977
"United Wall Paper Factories, Inc",45,721
"United Wall Paper Factories, Inc",49,1423
Universal Battery Co,42,1301
"Universal Film Exchangers,",44,1292
"Inc Universal Moulded Products Corporation, Bristol Aircraft Division",46,99
Utah Copper Co,49,901
