row_label,Industrial group,Elections — Number,Elections — Percent,AFL affiliates won — Number,AFL affiliates won — Percent,CIO affiliates won — Number,CIO affiliates won — Percent,Unaffiliated unions won — Number,Unaffiliated unions won — Percent,No union won — Number,No union won — Percent,Eligible voters — Number,Eligible voters — Percent,Valid votes cast — Number,Valid votes cast — Percent
Total,112,100.0,12,10.7,23,20.5,2,1.8,75,67.0,9474,100.0,8485,100.0,
Manufacturing,80,71.4,6,7.5,20,25.0,1,1.3,53,66.2,8132,85.8,7397,86.0,
