Industrial group,All cases,Unfair labor practice cases All C cases,CA,CB,CC,CD,CE,CG,CP,Representation cases All R cases,RC,RM,RD,Union deauthorization cases UD,Amendment of certification cases AC,Unit clarification cases UC
Food and kindred products,2776,1023,1355,533,57,9,11,0,11,767,635,37,65,12,8,8
Tobacco manufactures,21,15,9,5,0,0,0,0,0,6,5,0,1,0,0,0
Textile mill products,519,376,291,70,6,0,1,0,0,133,110,11,5,0,3,1
Apparel and other finished products made from fabric and similar materials,731,552,402,129,11,0,0,0,0,174,138,19,17,0,4,1
Lumber and wood products (except furniture),706,466,354,65,17,2,0,0,0,233,220,18,36,0,6,1
Furniture and fixtures,715,508,402,95,5,4,1,0,1,199,170,11,18,0,4,4
Other manufacturing industries,,,,,,,,,,,,,,,,
Total,22841,16567,11668,4387,344,78,12,0,78,5977,4976,287,714,130,31,136
