row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
All types,8416,126,297,7993,7727,121,287,7319,391,4,6,381,298,1,4,293
Rerun required Runoff required,,,220 77,,,,210 77,,,,0 0,,_ _,,4 0,_ _
Consent elections,2336,24,67,2245,2118,24,67,2027,125,0,0,125,93,0,0,93
Rerun required Runoff required,,,92 25,,,_ _,42 25,,,,0 0,__,__,,0 0,_ _ _ _
Stipulated elections,4330,51,150,4129,4014,47,142,3826,186,3,5,178,130,1,3,126
Rerun required Runoff required,,,113 37,,,,10 q 37,,,,6 0,,_ _ __,,8 0,_ _ . _
Regional director-directed,1637,49,76,1512,1510,49,74,1387,53,0,1,52,74,0,1,73
Rerun required Runoff required,,,62 14,,,,60 14,,,,1 0,,_ _,_ _,1 0,_ - _ _
Board-directed,85,2,4,79,78,1,4,73,6,1,0,6,1,0,0,1
Rerun required Runoff required,,,3 1,,,_ _,3 1,,,,0 0,,_,,0 o,_ _ _ _
Expedited-See. 8 (b) (7) (C) -----,28,0,0,28,7,o,0,7,21,0,0,21,0,0,0,0
Rerun required Runoff required,,,0 0,,,,o o,,,,o o,,,,o o,_ _
