row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
New England,759,159,6.6,600,8.2,-14.5,+1.5.8
Maine,40,8,0.4,32,0.4,-46.7,-13.5
New Hampshire,46,9,0.4,37,0.5,+50.0,+ 4s. 0
Vermont,34,7,0.3,27,0.4,-36.4,-27.0
Massachusetts,387,78,3.2,309,4.2,-24.3,+6.2
Rhode Island,90,20,0.8,70,1.0,+17.6,+100. 0
Connecticut,162,37,1.5,125,1.7,+8.8,+31.6
Middle Atlantic,2087,512,21.1,1575,21.5,-7.7,+10. 1
New York,1142,297,12.2,845,11.5,-9.7,+23.0
New Jersey,446,112,4.6,334,4.6,+2.8,-3.2
Pennsylvania,499,103,4.3,396,5.4,-12.7,-3.9
East North Central,2302,601,24.8,1701,23.3,-11.7,-5.4
Ohio,687,18.5,7.6,502,6.9,-13.6,-7.4
Indiana,265,69,2.9,196,2.7,-6.8,-8.8
Illinois,669,169,7.0,500,- 6.8,-13.3,-2.5
Michigan,455,131,5.4,324,4.4,-8.4,+1.3
Wisconsin,226,47,1.9,179,2.5,-16.1,+20.1
West North Central,723,180,7.4,543,7.4,-23.1,-9.8
Iowa,156,36,1.5,120,1.6,-16.3,+12. 1
Minnesota,97,29,1.2,68,0.9,,9
,312,78,3.2,234,3.2,+7.4 -28. 4,-19.0
Missouri,13,1,0.0,12,,-90.0,-14.3
North Dakota South Dakota,22,4,0.2,18,0.2,-42.9,+200.0
Nebraska,61,16,0.7,45,0.3 0.6,0,0
Kansas,62,16,0.6,46,0.6,-27.3,-27.0
