Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
South Atlantic tail (District of Columbia 171/65/32/14/13/2/0/4/106/91/5/10/0/0/0; Virginia 273/135/91/19/19/0/0/6/137/122/9/6/0/0/1; West Virginia 269/124/15/1/27/0/0/2/144/140/3/1/0/0/0; North Carolina 217/154/29/2/22/0/0/0/63/56/3/4/0/0/0; South Carolina 150/95/45/2/10/0/0/0/55/48/3/4/0/0/0; Georgia 504/318/162/22/29/3/0/0/186/156/8/22/0/0/0; Florida 967/489/355/64/41/29/0/4/478/415/30/33/0/0/0),,,,,,,,,,,,,,,
East South Central (division subtotal),1449,842,670,115,31,10,0,16,600,522,44,24,2,3,2
East South Central states (Kentucky 376/207/...; Tennessee 615/397/...; Alabama 342/152/...; Mississippi 124/87/...),,,,,,,,,,,,,,,
West South Central (division subtotal),1940,1142,845,179,70,32,1,9,782,676,64,43,0,0,13
"West South Central states (Arkansas 321/122/.../...; Louisiana 350/229/.../...; Oklahoma 240/124/.../...; Texas 1,144/667/.../...)",,,,,,,,,,,,,,,
Mountain (division subtotal),1153,748,808,118,81,27,0,14,405,308,60,27,1,2,7
Mountain states (Montana 100/62/...; Idaho 92/35/...; Wyoming 40/28/...; Colorado 363/238/...; New Mexico 155/96/...; Arizona 248/183/...; Utah 71/52/...; Nevada 179/96/...),,,,,,,,,,,,,,,
Pacific (division subtotal),4467,2671,1665,506,261,68,32,88,1790,1453,262,105,32,0,15
"Pacific states (Washington 445/261/.../...; Oregon 258/139/.../...; California 3,389/2,138/.../...; Alaska 86/53/.../...; Hawaii 177/82/.../...)",,,,,,,,,,,,,,,
Outlying areas (Puerto Rico + Virgin Islands),492,251,195,43,6,3,0,0,229,207,9,8,0,0,5
Outlying,,,,,,,,,,,,,,,
