Proceedings,Number of cases instituted,Number of applications granted,Number of applications denied,"Cases settled, withdrawn, inactive, pending, etc"
Under sec. 10 (j),,,,
(a) Against unions,6,3,1,"1 settled, 1 pending"
(b) Against employers,1,1,0,0
Under sec 10 (l),127,59,9,29 settled; 2 withdrawn; 30 alleged illegal activity suspended; 6 pending
Total,134,63,10,69
