row_label,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
South Atlantic (subtotal),867,302,301,104,18,4,425,81895,72395,35129,24320,6899,2970,940,37266,31757
South Atlantic per-state,,,,,,,,,,,,,,,,
East South Central (subtotal),596,278,168,86,19,5,228,53394,48452,24763,18147,3316,1800,317,23689,21374
East South Central per-state,,,,,,,,,,,,,,,,
West South Central (subtotal),624,338,245,60,29,4,288,51447,46158,27444,20105,3167,4690,108,18712,30915
West South Central per-state,,,,,,,,,,,,,,,,
Mountain (subtotal),347,182,109,50,9,4,165,13792,11988,6215,3758,1882,423,152,5773,5943
Mountain per-state,,,,,,,,,,,,,,,,
Pacific (subtotal),1318,726,393,256,57,20,692,58039,50908,28561,17140,6740,3487,1194,22347,29146
Pacific per-state,,,,,,,,,,,,,,,,
Puerto Rico,182,125,38,35,5,47,115,,,,,,,,,
Virgin Islands,5,,,,,,,,,,,,,,,
Outlying Areas,187,129,42,38,5,50,115,15554,11682,6241,3099,,,,,3872
"Total, all States and areas",7993,4367,2486,1234,409,238,3626,602761,526419,306010,185146,40832,40850,39182,220409,299779
