row_label,col_1
All Cases,All Cases
Received-Closed-Pending............... 1,Received-Closed-Pending............... 1
Distribution of Intake: ................................5,Distribution of Intake: ................................5
by Industry,
"Geographic.........................6A,B",
Court Litigation,Court Litigation
Appellate Decisions....................19A,
Enforcement and Review...............19,
Injunction Litigation,......................20
Miscellaneous Litigation,...............21
Representation and Union Deauthorization Cases General,Representation and Union Deauthorization Cases General
"Received-Closed-Pending..........1,1B",
Disposition:,Disposition:
by Method...............................10,
by Stage.....................................9,
Formal Action Taken....................3B,
Processing Time,............................23
Elections,Elections
Final Outcome,...............................13
Geographic Distribution,".........15A,B"
Industrial Distribution....................16,
Objections/Challenges:,Objections/Challenges:
Elections Conducted,............11A
Disposition...........................11D,
Party Filing,..........................11C
