Status,Total,Identification of Filing Party — AFL-CIO unions,Identification of Filing Party — Teamsters,Identification of Filing Party — Other national unions,Identification of Filing Party — Other local unions,Identification of Filing Party — Individuals,Identification of Filing Party — Employers
"RC cases — Pending July 1, 1972",2829,1683,770,184,188,4,
RC cases — Received fiscal 1973,11897,6800,3888,567,603,39,
RC cases — On docket fiscal 1973,14726,8483,4658,751,791,43,
RC cases — Closed fiscal 1973,11970,6724,3941,627,636,42,
"RC cases — Pending June 30, 1973",2756,1759,717,124,155,1,
"RM cases — Pending July 1, 1972",171,,,,,,171
RM cases — Received fiscal 1973,991,,,,,,991
RM cases — On docket fiscal 1973,1162,,,,,,1162
RM cases — Closed fiscal 1973,971,,,,,,971
"RM cases — Pending June 30, 1973",191,,,,,,191
"RD cases — Pending July 1, 1972",200,1,2,0,0,197,
RD cases — Received fiscal 1973,1144,8,1,1,3,1131,
RD cases — On docket fiscal 1973,1344,9,3,1,3,1328,
RD cases — Closed fiscal 1973,1118,9,3,1,3,1102,
"RD cases — Pending June 30, 1973",226,0,0,0,0,226,
