Stage and method,All R cases — Number of cases,All R cases — Percent of cases closed,NLRA R cases — Number of cases,NLRA R cases — Percent of cases closed,RC cases — Number of cases,RC cases — Percent of cases closed,RM cases — Number of cases,RM cases — Percent of cases closed,RD cases — Number of cases,RD cases — Percent of cases closed
Total number of cases closed,9245,100.0,177,100.0,8131,100.0,482,100.0,455,100.0
"Before formal action, total",7017,75.9,39,22.0,6167,75.8,406,84.2,405,89.0
Before formal action — Adjusted,4219,45.6,8,4.5,4002,49.2,138,28.6,71,15.6
Before formal action — Adjusted — Consent election,3532,38.2,1,.6,3357,41.3,108,22.4,66,14.5
Before formal action — Adjusted — Stipulated election,655,7.1,6,3.4,619,7.6,27,5.6,3,.7
Before formal action — Adjusted — Recognition,32,.4,1,.6,26,.3,3,.6,2,.4
Before formal action — Withdrawn,2117,22.9,20,11.3,1777,21.9,204,42.3,116,25.5
Before formal action — Dismissed,676,7.3,11,6.2,385,4.7,62,12.9,117,25.7
Before formal action — Otherwise,5,.1,0,0,3,(1),2,.4,0,0
"After formal action, total",2228,24.1,138,78.0,1964,24.2,76,15.8,50,11.0
After formal action — Before hearing — total,267,2.9,2,1.1,219,2.7,23,4.8,23,5.1
After formal action — After hearing — total,157,1.7,6,3.4,115,1.4,10,2.1,26,5.7
After formal action — After Board decision — total,1706,18.4,70,39.5,1613,19.8,33,6.8,,
After formal action — Certified after Board ordered election,962,9.3,62,35.0,947,11.6,32,6.6,,
After formal action — Dismissed — After Board ordered election,317,3.4,6,3.4,311,3.8,,,,
