row_label,All C cases — Number,All C cases — Percent of total closed by method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Adopting administrative law judge's decision (no exceptions filed),100,0.2,68,0.2,84,0.3,6,0.3,0,0.0,2,1.0,0,0.0,0,0.0
Contested,772,1.9,632,2.2,,,,,,,,,,,,
Circuit court of appeals decree,567,1.4,487,1.7,51,0.5,16,0.8,75,7.8,29,18.2,8,18.2,2,0.3
Supreme Court action,7,0.0,6,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Withdrawal,12917,31.1,8799,30.6,3142,33.0,691,34.5,,,58,36.5,6,13.6,221,38.4
Withdrawal — Before issuance of complaint,12478,30.0,8442,29.3,3093,32.5,671,33.5,0,0.0,52,32.7,5,11.4,215,37.5
Dismissal,15343,36.9,10169,35.3,4576,48.1,366,18.3,6,1.2,55,34.6,6,13.6,165,28.6
Dismissal — Before issuance of complaint,14595,35.1,9575,33.3,4461,46.9,347,17.3,0,0.0,46,28.9,6,13.6,160,27.8
10(k) actions (see table 7A for disposition),460,1.1,0,0.0,0,0.0,0,0.0,460,95.0,0,0.0,0,0.0,0,0.0
Otherwise (compliance with order or administrative law judge or Board not achieved—firm went out of business),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
