Type of case,Total rerun elections / Number,Total rerun elections / Percent by type,Union certified / Number,Union certified / Percent by type,Union lost / Number,Union lost / Percent by type,Outcome of original election reversed / Number,Outcome of original election reversed / Percent of total rerun elections
All elections,171,100.0,67,39.2,104,60.8,63,36.8
RC elections,163,100.0,66,40.5,97,59.5,62,36.3
RM elections,5,100.0,1,20.0,4,80.0,1,0.6
RD elections,3,100.0,0,,3,100.0,,
