Participating unions,Total elections,Percent won,Total won,AFL-CIO,Teamsters,Other Nat'l,Other Local,col_8,Total eligible,In elections won Total,AFL-CIO,Teamsters,Other Nat'l,Other Local,col_15
C. ELECTIONS IN RM CASES — Total RM elections,400,43.3,173,109,49,9,6,227,19872,9625,7263,649,232,1479,10189
C: 1-union elections (RM),378,41.3,156,100,46,7,3,222,17366,7588,6221,5494,491,182,34
C: 1-union AFL-CIO/Teamsters/Other Nat'l/Other Local,,,,,,,,,,,,,,,
C: 2-union elections (RM),20,75.0,15,9,2,1,,,2506,2037,1769,158,50,,469
C: 2-union,,,,,,,,,,,,,,,
C: 3 (or more)-union elections (RM),2,100.0,2,,,,,,1365,1365,,,,1365,
D. ELECTIONS IN RD CASES — Total RD elections,200,36.0,72,47,19,6,0,128,12565,7847,3608,1442,707,0,4718
D: 1-union elections (RD),185,36.2,67,47,13,4,0,118,8971,4233,3189,578,546,0,4719
D: 1-union,,,,,,,,,,,,,,,
D: 2-union elections (RD),13,10.0,3,,0,0,0,10,,566,266,,,,
D: 3 (or more)-union elections (RD),2,100.0,2,,,,,,872,872,150,722,,,
