row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
Other national unions,8478,2455,,,2455,,1282,1574,,,1574,,3167
Other local unions,18151,5427,,,,6427,1815,3204,,,,3204,7705
1-union elections,186295,36023,22584,5557,2455,5427,16295,42430,29836,7816,1574,3204,91547
AFL-CIO v AFL-CIO,5465,1522,1522,,,,131,1302,1302,,,,2510
AFL-CIO v Teamsters,3307,2274,1065,1209,,,os,287,52,235,,,650
AFL-CIO v national,4492,2627,1320,,1307,,127,419,123,,296,,1319
AFL-CIO v local,7917,6986,4125,,,2861,137,286,10'7,,,179,508
Teamsters v national,158,o,,0,0,,o,74,,67,7,,84
Teamsters v local,868,666,,431,,235,64,61,,21,,40,'T7
Teamsters v Teamsters,9,9,,9,,,o,0,,0,,,o
National v local,304,34,,,32,2,o,102,,,57,45,168
Local v local,431,371,,,,371,41,7,,,,7,12
2-union elections,22951,14489,8032,1649,1339,3469,596,2538,1584,323,360,271,5328
AFL-CIO v AFL-CIO v Teamsters,29,28,18,10,,,1,o,o,0,,,0
AFL-CIO v Teamsters v local,26,26,0,15,,11,o,o,o,0,,o,0
AFL-CIO v national v local,416,323,100,,12,211,93,o,o,,0,o,0
AFL-CIO v local v local,312,303,166,,,137,9,o,o,,,o,0
Teamsters v local v local,122,121,,75,,46,1,o,,0,,o,0
Local v local,336,328,,,,328,8,o,,,,o,0
3 (or more)-uruon elections,1241,1129,284,100,12,733,112,0,0,0,0,0,0
Total RC elections,210487,51641,30900,7306,3806,9629,17003,44968,31420,8139,1934,3475,96875
,C Elect one in EM cases,C Elect one in EM cases,C Elect one in EM cases,C Elect one in EM cases,C Elect one in EM cases,C Elect one in EM cases,C Elect one in EM cases,C Elect one in EM cases,C Elect one in EM cases,C Elect one in EM cases,C Elect one in EM cases,C Elect one in EM cases,C Elect one in EM cases
AFL-CIO,8879,532,532,,,,297,2913,2913,,,,5137
Teamsters,1156,270,,270,,,101,247,,247,,,538
Other national unions,63,10,,,10,,5,11,,,11,,3'7
Other local unions,333,12,,,,12,11,69,,,,69,241
1-union elections,10431,824,532,270,10,12,414,3240,2913,247,11,69,5953
