row_label,col_1,col_2,col_3
Representation decisions,201,201,
After transfer by Regional Di- rectors for initial decision ... 3,After transfer by Regional Di- rectors for initial decision ... 3,After transfer by Regional Di- rectors for initial decision ... 3,
After review of Regional Di- rector decisions,After review of Regional Di- rector decisions,After review of Regional Di- rector decisions,
On objections and/or chal- lenges,On objections and/or chal- lenges,On objections and/or chal- lenges,
Clarification of bargaining unit,Clarification of bargaining unit,Clarification of bargaining unit,
Amendment to certification,1,1,
Union-deauthorization,Union-deauthorization,Union-deauthorization,
Noncontested decisions,Noncontested decisions,424,Noncontested decisions
Unfair labor practice 246,Unfair labor practice 246,Unfair labor practice 246,
,177,177,
Representation,Representation,Representation,
Other,Other,Other,
