Year and month,Number of cases brought before Board / (1),Number of strikes — Total / (2),Number of strikes — Involving recognition and discrimination / (3),Ratio of cases to strikes — All strikes / (1/2),Ratio of cases to strikes — Strikes involving recognition and discrimination / (1/3)
1938 Total,7990,2180,958,3.67,8.34
1938 January,674,148,59,4.55,11.42
1938 February,629,156,75,4.03,8.39
1938 March,896,216,103,4.15,8.70
1938 April,823,207,94,3.98,8.76
1938 May,624,233,98,2.68,6.37
1938 June,727,178,58,4.08,12.53
1938 July,605,164,47,3.69,12.87
1938 August,606,203,79,2.99,7.67
1938 September,594,176,75,3.38,7.92
1938 October,706,196,108,3.60,6.54
1938 November,518,167,105,3.10,4.93
1938 December,588,136,57,4.32,10.32
1939 Total,6348,2098,793,3.02,8.00
1939 January,480,163,81,2.94,5.93
1939 February,533,173,64,3.08,8.33
1939 March,552,179,85,3.08,6.49
1939 April,601,203,70,2.96,7.54
1939 May,588,206,78,2.85,10.25
1939 June,533,194,52,2.75,10.25
1939 July,522,188,58,2.77,8.98
1939 August,522,221,90,2.36,5.79
1939 September,412,158,55,2.60,7.47
1939 October,511,170,63,3.00,8.10
1939 November,576,155,58,3.71,9.91
1939 December,518,88,39,5.88,13.26
1940 January,417,101,34,4.12,12.24
1940 February,448,132,47,3.39,9.51
1940 March,527,131,53,4.02,9.92
1940 April,616,188,70,3.27,8.77
1940 May,579,197,60,2.93,9.62
1940 June,530,168,51,3.15,10.37
