Action taken,Total all,Employer Total,Employer Pursuant to Agreement of parties,Employer Pursuant to Recommendation of trial examiner,Employer Pursuant to Informal settlement,Employer Pursuant to Formal settlement,Employer Order of Board,Employer Order of Court,Union Total,Union Pursuant to Agreement of parties,Union Pursuant to Recommendation of trial examiner,Union Pursuant to Order of Board,Union Pursuant to Order of Court
A. By number of cases involved — section subheader,,,,,,,,,,,,,
Notice posted,5339,2917,1389,75,109,347,197,,788,486,26,100,72
Recognition of other established union withdrawn,2905,78,53,5,4,12,4,,,,,,
Employer-dominated union dissolved,76,76,53,5,4,9,5,,,,,,
Employees offered reinstatement,1194,1194,822,64,35,68,196,,4,,,,
Picketing ended,806,,,,,,,,806,320,6,4,70
Collective bargaining begun,1431,1282,1008,34,34,131,75,,149,102,0,0,47
Backpay distributed,1641,1487,1029,44,69,220,125,,154,81,16,14,32
