row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
AFL-CIO v. National...................................,3602,2974,1756,1218,,129,241,215,26,,258
2-union elections......................................,9043,7245,2580,3628,1037,409,696,481,158,57,693
National v. National v. Local.......................,184,180,0,173,7,4,0,,,,
National v. National v. National...................,78,78,0,78,0,0,0,,,,
National v. National v. National v.,373,0,,,,,208,0,208,0,165
National.........................................................,,,,,,,,,,,
National v. Local v. Local............................,43,43,0,6,37,0,0,,,,
AFL-CIO v. AFL-CIO v. Local v. Local…,16,16,8,0,8,0,0,,,,
3 (or more)-union elections......................,694,317,8,257,52,4,208,0,208,0,165
Total RC elections....................................,86882,38255,13191,21943,3121,12201,12551,5011,7052,488,23875
C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases
Other national unions....................................,1020,317,,317,,197,166,,166,,340
AFL-CIO......................................................,667,54,54,,,43,165,165,,,405
1-union elections.......................................,1687,371,54,317,0,240,331,165,166,0,745
Total RMelections...................................,1687,371,54,317,0,240,331,165,166,0,745
D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases
AFL-CIO…..................................................,10915,4781,4781,,,2568,1378,1378,,,2188
Other national unions....................................,8709,3664,,3664,,1782,1169,,1169,,2094
Other local unions.........................................,161,45,,,45,12,26,,,26,78
1-union elections.......................................,19785,8490,4781,3664,45,4362,2573,1378,1169,26,4360
National v. National......................................,91,68,0,68,0,23,0,,,,
National v. Local..........................................,119,109,0,63,46,10,0,,,,
AFL-CIO v. AFL-CIO................................,3,0,,,,,2,2,0,0,1
AFL-CIO v. National...................................,20,19,13,6,0,1,0,,,,
AFL-CIO v. Local........................................,251,243,177,0,66,8,0,,,,
2-union elections.......................................,484,439,190,137,112,42,2,2,0,0,1
Total RD elections..............................,20269,8929,4971,3801,157,4404,2575,1380,1169,26,4361
