Case number,Respondent (party),Date charge filed,Date temporary restraining order filed or denied,Date hearing on petition,"Date dismissed, withdrawn, or otherwise disposed",Result / Disposition
"20-CA-023, 524, 597, 624, 626, 25-CB-173, 172, 184, 200, 207","American President Lines Ltd., and Matson Navigation Co. (Individual) National Union of Marine Cooks & Stewards (Individual)","Aug. 28, 1951",,,"Jan. 23, 1952",
6-CC-22,CIO-Sindicato de Trabajadores (South Porto Rico Sugar Co.),"Aug. 30, 1951",,,"Feb. 19, 1952","Jan. 11, 1952"
6-CC-10,"AFL-Teamsters, Local 307 (Mc Enery Co.)","Aug. 30, 1951",,,,"Dec. 24, 1951"
19-CC-13,"AFL-Carpenters, Local 2781 (Plywood & Door Corp.)","Sept. 5, 1951",,,,"Sept. 25, 1951"
13-CC-16,"AFL-Sheet Metal Workers, Local 28 (Ferrocraft, etc.)","Sept. 12, 1951",,,,"Nov. 20, 1951"
6-CC-23,"AFL-Teamsters, Local 626 (Roy Stone)","Sept. 21, 1951",,,,"Dec. 11, 1951"
"10-CC-2, 6-CD-13",AFL-Teamsters (Hammermill Paper Co.),"Oct. 4, 1951",,,,
12-CC-1,"AFL-Carpenters, Local 50 (Clyde M. Furr)","Oct. 9, 1951",,,,"June 5, 1952"
20-CC-7,"AFL-Teamsters, Local 814 (Montgomery Ward & Co.)","Oct. 24, 1951",,,,"Dec. 27, 1951"
"24-CC-11, 12","AFL-Longshoremen (Puerto Rico Steamship Ass'n, et al)","Nov. 5, 1951","Nov. 14, 1951","Nov. 23, 1951","Nov. 23, 1951",
2-CC-20,"AFL-Confectionery Employees and Confectionery Employees Local 30 (Henry Heide, Inc.)","Nov. 6, 1951",,,,"Feb. 16, 1952"
24-CD-40,AFL-Longshoremen (General Council of Ports of Puerto Rico (Bermuda Steamship association)),"Nov. 26, 1951","Feb. 6, 1952",,,"Feb. 20, 1952"
20-CC-9,"Mine Workers, District 50 and Harry Livington (National Cylinder Gas Co.) (Atlas Canning Co.)","Mar. 12, 1952",,,,"April 11, 1952"
19-CC-21,AFL-Teamsters (Wash. & State Allied Trades) (Atlas Canning Co.) (Shingle Co.),"Mar. 25, 1952",,,,"May 27, 1952"
"21-CC-22, 6-CC-21",AFL-Teamsters (Capital Service Inc.),"May 14, 1952",,,,"June 2, 1952"
10-CC-37,"AFL-Teamsters, Local 135 (Motor Freight Carriers of So.)","May 28, 1952",,,,"June 26, 1952"
"13-CA-1065, 24-CC-13, 14, 15, 16-CD-A","Mine Workers, District 50 (Jordan Plumes Corp.) (Puerto Rico Tugboatmen) (Puerto Rico Tugboatmen Workers' Union) (AFL-Longshoremen (Puerto Rico Steamship association, et al.))","May 29, 1952",,,,
6-CD-10,"Pacific Coast Dist. Metal Trades Council (McDowell Company, Inc.)","June 19, 1952",,,,"June 26, 1952"
