Period covered,Cases received / All cases,Cases received / Unfair labor practice cases — Number,Cases received / Unfair labor practice cases — Percent of total,Cases received / Representation cases — Number,Cases received / Representation cases — Percent of total,Workers involved / All cases,Workers involved / Unfair labor practice cases,Workers involved / Representation cases
1935-36,1068,865,81.0,203,19.0,240865,160346,80519
1936-37,4062,2895,71.3,1167,28.7,1383808,876985,506823
1937-38,10430,6807,65.3,3623,34.7,2100869,1003346,1097523
1938-39,6904,4618,66.9,2286,33.1,1147284,665102,482182
1939-40,6177,3934,63.7,2243,36.3,1107923,707439,400484
1940-41,9151,4817,52.6,4334,47.4,2373361,1464087,1188088
July (1940),515,310,60.2,205,39.8,92554,32562,65999
August,628,396,63.1,232,36.9,118878,75321,49200
September,578,340,58.8,238,41.2,104275,72828,39097
October,752,464,61.7,288,38.3,182841,134862,57484
November,616,360,58.4,256,41.6,128076,100705,34109
December,518,296,57.1,222,42.9,212078,159324,66113
January (1941),667,377,56.5,290,43.5,151734,103754,62616
February,849,406,47.8,443,52.2,214975,140008,153850
March,997,457,45.8,540,54.2,303214,161396,164191
April,934,427,45.7,507,54.3,298190,179318,133597
May,1073,530,49.4,543,50.6,326457,161008,197888
June,1024,454,44.3,570,55.7,239087,142501,133944
