Industrial group,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions won,Teamsters won,Other national unions won,Other local unions won,Number of elections in which no representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
Mining — Subtotal,43,15,7,4,3,1,28,4398,4002,2024,869,87,1150,64,1978,2141
Construction,326,105,87,12,1,5,221,12400,12143,3572,,,,,,
"Transportation, Communications, and Other Utilities — Subtotal",519,274,195,75,0,4,245,14019,9083,,,,,,,
Health services,343,217,169,17,,31,126,,,,,,,,,
