Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and/or order
18-CC-37,CIO-Steel Workers et al. (Foley Construction),"July 27, 1956",10 (l),,,,,"Aug. 31, 1956",Withdrawn
24-CC-35,"Union de Trabajadores de Muelles y Ramas Anexas, Dist. Council 15, AFL-CIO (CC-1 Insular General)","July 27, 1956",10 (l),,,,,"Oct. 16, 1956","Oct. 3, 1956"
5-CD-13,"AFL-Lathers, Local 6 (Jacobson & Co, Inc.)","Aug. 1, 1956",10 (l),,,"May 8, 1957",,,
19-CC-90,"Islandbottom's Union of the Pacific, Alaska Division, et al. (Ketchikan Pulp Co)","Aug. 3, 1956",10 (l),,,,,,
Additional case rows present,,,,,,,,,
