Method and stage of disposition,All R cases / Number,All R cases / Percent,RC cases / Number,RC cases / Percent,RM cases / Number,RM cases / Percent,RD cases / Number,RD cases / Percent,UD cases / Number,UD cases / Percent
"Total, all",11546,100.0,9925,100.0,939,100.0,682,100.0,95,100.0
"Certification issued, total",7669,66.4,7032,70.9,402,42.9,235,34.5,34,100.0
Consent election,3496,30.3,3195,32.2,191,20.4,110,16.1,8,8.4
Stipulated election,2510,21.8,2336,23.5,126,13.4,61,8.9,,
Expedited election + Regional director-directed election + Board-ordered election,,,,,,,,,,
"By withdrawal, total",2872,24.9,2263,22.8,341,36.3,268,39.3,42,47.5
"By dismissal, total",1005,8.7,630,6.3,196,20.9,179,26.2,16,16.8
Stage,,,,,,,,,,
