row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total_",2709,2265,2075,91,97,2
Initial hearings Hearings on objections and/or challenges,"2,534 175","2,092 173","1,914 161",80 11,96 1,2 0
"Decisions issued, total",2425,2065,1878,94 77,90,3
By- regional director,2221,1892,1725,,87,3
Elections directed,1978,1701,1562,61,77,1
Dismissals on record,243,191,163,16,10,2
By Board,204,173,153,17,3,0
After transfer by regional director for initial decision,140,115,98,15,2,0
Elections directed Dismissals on record,88 52,77,69 29,7 8,1 1,0 0
After review of regional director's decision,64,38 58,55,2,1,0
Elections directed Dismissals on record,49,45,42,2,1,0
,15,13,13,0,0,0
"Decisions on objections and/or challenges, total- _.",1151,"1,090 445",1005,57,22,6
By regional director,499,,406,23,10,6
,652,645,599,34,12,0
By Board_ In stipulated elections,608,604,562,31,11,0
No exceptions to regional director's report,,379,349,23,,
Exceptions to regional director's report,382,225,213,8,7,0
In directed elections (after transfer by,226,,,,4,0
regional director),27,26,24,1,1,0
In directed elections after review of re- gional director's supplemental decision__,17,15,13,2,0,0
