row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
All types,3632,116,117,3399,3.073,110,103,2860,52,0,I,51,507,6,13,488
Rerun required Runoff required,_ _,_ _,101 16,- ____,- _,- _,00 13,_,___ _,_,0 I,,,,II 2,
Consent elections,13,0,I,12,11,0,I,10,0,0,0,0,2,0,0,2
Rerun required Runoff required,,,1 0,,,,I 0,,,,0 0,,,,0 0,
Stipulated elections,2997,75,79,2843,2513,71,70,2372,40,0,0,40,444,4,9,431
Rerun required Runoff required _,,- _,69 10,- _,- _,- _,62 8,,,,0 0,,,,7 2,
Regional Director-directed,615,41,36,538,543,39,31,473,11,0,1,10,61,2,4,55
Rerun required Runoff required,_ -,_ -,30 6,_ -,_ -,_ -,26 5,._ -,_ -,_ -,0 1,,,,4 0,
Board-directed,6,0,I,5,6,0,1,5,0,0,0,0,0,0,0,0
Rem required Runoff required -,,,1 0,,,,1 0,,,,0 0,,,,0 0,
Expedited-Sec. 8(bX7XC),I,0,0,1,0,0,0,0,1,0,0,I,0,0,0,0
Rem required ....... ....... ...... . Runoff required,,,0 0,,,,0 0,,,,0 0,,,,0 0,
