row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total",1251,1185,,76,165,4
Initial hearings,1041,988,797,62,129,4
Hearings on objections and/or challenges,210,197,147,14,36,0
"Decisions issued, total",988,933,780,39,114,19
By Regional Directors,921,869,728,33,108,19
Elections directed,812,761,638,26,97,18
Dismissals on record,109,108,90,7,11,1
By Board,67,64,52,6,6,0
Transferred by Regional Directors for Initial decision,20,19,17,1,1,0
Elections directed,16,15,13,1,1,o
Dismissals on record,4,4,4,0,o,o
Review of Regional Directors' decisions:,,,,,,
Requests for review received,299,268,224,16,28,2
Withdrawn before request ruled upon,6,6,5,0,1,0
"Board action on request ruled upon, total",217,197,162,12,23,I
Granted,29,28,23,1,4,1
Denied,187,168,138,II,19,0
Remanded,1,1,I,0,0,0
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
,47,45,35,5,5,0
Regional Directors' decisions.,,,,,,
,34,32,25,5,2,o
Modified.,4,4,4,o,0,o
Reversed,9,9,6,o,3,o
Outcome.,,,,,,
Election directed,31,30,22,5,3,0
Dismissals on record,16,15,13,0,2,0
