Industrial Group,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Crop Production,56,51,48,3,0,0,0,0,0,5,3,1,1,0,0,0
Animal Production,37,32,29,3,0,0,0,0,0,5,4,0,1,0,0,0
Forestry and Logging,22,20,10,10,0,0,0,0,0,2,2,0,0,0,0,0
"Fishing, Hunting and Trapping",7,4,3,1,0,0,0,0,0,3,3,0,0,0,0,0
Support Activities for Agriculture and Forestry,47,40,34,5,1,0,0,0,0,7,7,0,0,0,0,0
"Agriculture, Forestry, Fishing, and Hunting (subtotal)",169,147,124,22,1,0,0,0,0,22,16,1,5,0,0,0
Construction (subtotal),3980,3361,2249,608,293,135,6,0,70,609,522,29,58,3,1,6
31-Manufacturing (subtotal shown in image),1566,1322,1002,302,16,2,0,0,0,226,183,7,36,11,1,6
