Object class,Amount
Personnel compensation,23785072
Personnel benefits,1790789
Travel and transportation of persons,1459071
Transportation of things,52890
"Rent, communications, and utilities",1134239
Printing and reproduction,671535
Other services,940170
Supplies and materials,299727
Equipment,275917
Insurance claims and indemnities,15426
Subtotal obligations and expenditures,30424836
"Transferred to operating expenses, Public Building Service (Rent)",20191
Total Agency,30445027
