Participating unions,Total valid votes cast,Won — Votes for unions — Total,Won — AFL-CIO unions,Won — Teamsters,Won — Other national unions,Won — Other local unions,Total votes for no union (in won),Lost — Votes for unions — Total,Lost — AFL-CIO unions,Lost — Teamsters,Lost — Other national unions,Lost — Other local unions,Total votes for no union (in lost)
Section B RC — AFL-CIO (1-union),107874,25765,25765,,,,11776,24435,24435,,,,45898
Section B RC — Teamsters (1-union),34205,6311,,6311,,,2560,7654,,7654,,,17380
Section B RC — 1-union elections subtotal,155457,35569,25765,6311,1874,1619,15931,34008,24435,7654,854,1065,69490
Section B RC — Total RC elections,167246,44219,30677,6885,2257,4400,16545,35138,25020,7833,889,1096,70744
Section C RM — 1-union elections subtotal,1815,575,322,148,5,100,391,237,92,91,0,45,717
