row_label,Size of unit (Number of employees),Total number of employees,Total elections — Number,Total elections — Percent of total,Won by unions — Total — Number,Won by unions — Total — Percent of class,AFL-CIO unions — Number,AFL-CIO unions — Percent of class,Teamsters — Number,Teamsters — Percent of class,Other national unions — Number,Other national unions — Percent of class,Other local unions — Number,Other local unions — Percent of class,No representative chosen — Number,No representative chosen — Percent of class
Total RC and RM elections,223018,3663,100.0,1775,48.5,1096,29.9,465,12.7,65,1.8,143,3.9,1923,52.5,
Under 10 employees (subtotal RC+RM size bracket),14886,831,22.7,268,25.0,156,33.6,53,11.4,12,2.6,20,4.3,243,29.2,
