Standard Federal Region and State,All cases,All C cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC,UC
Region I (subtotal),2160,1467,948,376,80,32,4,2,12,640,548,33,53,3,3,11
Region II (subtotal),2161,1322,839,388,104,23,9,0,100,1865,1763,43,112,0,1,67
Region III (subtotal),4822,3058,1953,830,214,94,3,6,42,1306,1172,34,94,2,2,32
Region IV (subtotal),4374,3158,2361,511,147,47,8,5,18,1187,1040,37,105,6,6,21
