Type of case,Total elections — Number,Total elections — Percent,Consent — Number,Consent — Percent,Stipulated — Number,Stipulated — Percent,Regional director directed — Number,Regional director directed — Percent,Board ordered — Number,Board ordered — Percent
"All elections, total",11322,100.0,8667,76.6,635,5.6,440,3.9,1580,13.9
"Eligible voters, total",1972759,100.0,931363,47.2,160596,8.1,368051,18.7,512749,26.0
"Valid votes, total",1690733,100.0,802765,47.5,132686,7.8,300412,17.8,454870,26.9
"NLRA R cases, total",14,100.0,1,7.1,0,.0,0,.0,13,92.9
Eligible voters,2081,100.0,270,13.0,0,.0,0,.0,1811,87.0
Valid votes,1682,100.0,222,13.2,0,.0,0,.0,1460,86.8
"RC cases, total",5251,100.0,3386,64.5,557,10.6,0,.0,1308,24.9
Eligible voters,604006,100.0,219931,36.4,89744,14.9,0,.0,294331,48.7
Valid votes,534187,100.0,194459,36.4,81214,15.2,0,.0,258514,48.4
"RM cases, total",354,100.0,118,33.3,24,6.8,0,.0,212,59.9
Eligible voters,284281,100.0,19439,6.8,61636,21.7,0,.0,203206,71.5
Valid votes,245513,100.0,17246,7.0,44000,17.9,0,.0,184267,75.1
"RD cases, total",112,100.0,60,53.6,10,8.9,0,.0,42,37.5
Eligible voters,9474,100.0,5240,55.3,1329,14.0,0,.0,2905,30.7
Valid votes,8485,100.0,4746,55.9,1256,14.8,0,.0,2483,29.3
"UA cases, total",5591,100.0,5102,91.3,44,.8,440,7.9,5,(1)
Eligible voters,1072917,100.0,686483,64.0,7887,.7,368051,34.3,10496,1.0
Valid votes,900866,100.0,586092,65.1,6216,.7,300412,33.3,8146,.9
