Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / In polls Resulting in deauthorization / Number,Employees involved (number eligible to vote) / In polls Resulting in deauthorization / Percent of total,Employees involved (number eligible to vote) / In polls Resulting in continued authorization / Number,Employees involved (number eligible to vote) / In polls Resulting in continued authorization / Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for deauthorization Number / Number,Valid votes cast / Cast for deauthorization Percent of total eligible / Percent of total eligible
Total,140,89,63.6,51,36.4,9060,3087,34.1,5973,65.9,7116,78.5,2451,27.1
AFL-CIO Unions,96,59,61.5,37,38.5,5553,2436,43.8,3127,56.2,4441,79.8,1888,33.9
Teamsters,34,22,73.5,8,26.5,3138,499,15.9,2639,84.1,2362,75.3,438,13.9
Other national unions,5,3,60.0,2,40.0,159,66,45.8,91,57.2,133,83.6,55,34.6
Other local unions,5,3,60.0,2,40.0,200,84,42.0,116,58.0,180,90.0,72,36.0
