Participating unions,Total valid votes cast,Valid votes cast in elections won Total,Valid votes cast in elections won Votes for unions AFL-CIO,Valid votes cast in elections won Votes for unions Teamsters,Valid votes cast in elections won Votes for unions Other national,Valid votes cast in elections won Votes for unions Other local,Valid votes cast in elections won Total for no union,Valid votes cast in elections lost Total,Valid votes cast in elections lost Votes for unions AFL-CIO,Valid votes cast in elections lost Votes for unions Teamsters,Valid votes cast in elections lost Votes for unions Other national,Valid votes cast in elections lost Votes for unions Other local,Valid votes cast in elections lost Total for no union
In all representation elections,491453,240072,154303,28303,29975,27701,57962,66427,53602,8580,3427,938,126762
1-union elections (subtotal),338790,109399,89363,13670,4731,2175,30779,61256,50355,8256,2308,517,117047
1-union,,,,,,,,,,,,,
2-union elections (subtotal),124601,103609,53771,11980,23224,14694,6464,5004,3233,310,,,9464
2-union,,,,,,,,,,,,,
3 (or more)-union elections (subtotal),28062,26464,11429,2653,1820,10562,1260,97,74,14,,9,251
3-or-more union,,,,,,,,,,,,,
