Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,All C cases — Percent of total method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Total number of cases closed,23840,100.0,,15514,100.0,5363,100.0,1761,100.0,698,100.0,49,100.0,455,100.0
Agreement of parties,5779,22.2,98.5,3283,21.3,893,16.6,801,45.5,10,1.4,15,30.7,138,30.3
Informal settlement,5077,21.3,96.2,3299,21.3,933,17.4,761,43.2,9,1.3,15,30.7,138,30.3
Informal settlement — Before issuance of complaint,3957,16.6,78.0,2430,18.7,726,13.5,664,37.7,,,11,22.5,125,27.5
"Informal settlement — After issuance of complaint, before opening of hearing",1014,4.3,19.2,789,5.1,196,3.7,88,5.0,,,4,8.2,12,2.6
Formal settlement,202,0.9,3.8,98,0.6,33,0.6,50,2.9,,,,,17,3.7
Compliance with,1151,4.8,100.0,943,6.0,125,2.3,53,3.0,,,3,6.1,20,
