Item,Value
I. Applications for fees and expenses before the NLRB,
I.A. Filed with Board,52
I.B. Hearings held,2
I.C. Awards ruled on,
I.C.1. By administrative law judges,
I.C.1. By administrative law judges — Granting,5
I.C.1. By administrative law judges — Denying,45
I.C.2. By Board,
I.C.2. By Board — Granting,-0-
I.C.2. By Board — Denying,37
I.D. Amount of fees and expenses in cases ruled on by Board,
I.D. Amount of fees and expenses in cases ruled on by Board — Claimed,220712
I.D. Amount of fees and expenses in cases ruled on by Board — Recovered,23941
II. Applications for fees and expenses before the circuit courts of appeals,
II.A. Awards ruled on,
II.A. Awards ruled on — Granting,1
II.A. Awards ruled on — Denying,10
II.B. Amounts of fees and expenses recovered pursuant to court award,16490
