Union affiliation,Elections participated in / Total,Elections participated in / Won,Elections participated in / Percent won,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / Employees in units selecting bargaining agent — Number,Employees involved (number eligible to vote) / Employees in units selecting bargaining agent — Percent of total eligible,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for the union — Number,Valid votes cast / Cast for the union — Percent of total cast
Total,4729,2942,62.2,458904,264920,57.7,410619,89.5,261762,63.7
AFL-CIO,4464,2619,58.7,444960,176497,39.7,398612,89.6,199441,50.0
Unaffiliated,510,323,63.3,125030,88423,70.7,107695,86.1,62321,57.9
