Standard Federal Region,All cases,All C cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC,UC
Region VIII,1022,756,393,163,10,0,0,0,0,242,163,11,68,4,0,10
Region IX states,,,,,,,,,,,,,,,,
Region X states,,,,,,,,,,,,,,,,
"Total, All States and areas",39639,32043,22475,7791,1136,294,45,28,274,6994,5036,542,1416,186,43,373
