row_label,Total all,Employer — Total,Employer — Pursuant to agreement of parties — Informal settlement,Employer — Pursuant to agreement of parties — Formal settlement,Employer — Pursuant to recommendation of administrative law judge,Employer — Order of Board,Employer — Order of Court,Union — Total,Union — Pursuant to agreement of parties — Informal settlement,Union — Pursuant to agreement of parties — Formal settlement,Union — Pursuant to recommendation of administrative law judge,Union — Order of Board,Union — Order of Court
A. By number of cases involved,18032,,,,,,,,,,,,
Notice posted,5244,4112,3043,132,16,577,364,1182,818,81,0,134,99
Recognition or other assistance withdrawn,67,67,47,11,0,7,2,,,,,,
Employer-dominated union disestablished,20,20,19,1,0,0,0,,,,,,
Employees offered reinstatement,2543,2543,1893,87,10,380,254,,,,,,
Employees placed on preferential hiring list,690,690,428,30,3,143,86,,,,,,
Hiring hall rights restored,153,,,,,,,153,76,16,0,29,30
Objections to employment withdrawn,159,159,60,14,0,33,32,,,,,,
Picketing ended,615,,,,,,,615,557,32,0,14,12
Work stoppage ended,168,,,,,,,168,152,2,0,4,1
Collective bargaining begun,2474,2216,1922,40,0,156,118,258,,,,,
Backpay distributed,3137,2908,2252,98,2,338,218,229,,,,,
"Reimbursement of fees, dues, and fines",127,74,67,0,1,1,5,53,,,,,
Other conditions of employment improved,3778,2620,2341,,0,,,1158,1156,0,0,0,2
Other remedies,2,2,,,,,,0,0,0,0,0,0
