row_label,Court of appeals circuit (headquarters),Total cases fiscal years 1949-1994,Affirmed in full / Fiscal year 1994,Affirmed in full / Num- ber,Affirmed in full / Cumulative fiscal years 1949-1994 Per- centage,Modified / Fiscal year 1994,Modified / Num- ber,Modified / Cumulative fiscal years 1949-1994 Per- centage,Remanded / Fiscal year 1994,Remanded / Num- ber,Remanded / Cumulative fiscal years 1949-1994 Per- centage,Affirmed in part and remanded in part / Fiscal year 1994,Affirmed in part and remanded in part / Num- ber,Affirmed in part and remanded in part / Cumulative fiscal years 1949-1994 Per- centage,Set aside / Fiscal year 1994,Set aside / Num- ber,Set aside / Cumulative fiscal years 1949-1994 Per- centage
Total all circuits,142,859,89,62.7,56,15,10.6,7.7,11,4.9,6,4.2,31,3.6,14.8,69,8.0
"1. Boston, MA",4,20,3,75.0,,,,,,,,,,,1,5,5.0
"2. New York, NY",14,86,9,57.0,,,,,,,,,,,,,
