Region,"Number of complaint cases pending July 1, 1937",1,2,3,4,5
Board,3,3,2,3,,1
1. Boston,67,67,20,55,,20
2. New York,211,211,34,145,,105
3. Buffalo,37,,,,,
4. Philadelphia,93,,,,,
5. Baltimore,66,,,,,
6. Pittsburgh,37,,,,,
7. Detroit,65,,,,,
8. Cleveland,43,,,,,
9. Cincinnati,108,,,,,
10. Atlanta,75,,,,,
11. Indianapolis,73,,,,,
12. Milwaukee,13,,,,,
13. Chicago,30,,,,,
14. St. Louis,29,,,,,
15. New Orleans,20,,,,,
16. Fort Worth,48,,,,,
17. Kansas City,60,,,,,
18. Minneapolis,17,,,,,
19. Seattle,52,,,,,
20. San Francisco,101,,,,,
21. Los Angeles,74,,,,,
Total,1406,1406,427,1057,,578
