row_label,Total proceedings,"Injunction Proceedings / Pending in district court Oct. 1, 1977",Injunction Proceedings / Filed in district court fiscal year 1978,Total dispositions,Disposition of Injunctions / Granted,Disposition of Injunctions / Denied,Disposition of Injunctions / Settled,Disposition of Injunctions / Withdrawn,Disposition of Injunctions / Dismissed,Disposition of Injunctions / Inactive,"Pending in district court Sept. 30, 1978"
"Under sec. 10(e), total",9,3,6,6,2,3,1,0,0,0,3
"Under sec. 10(j), total",56,10,46,45,20,2,19,3,0,1,11
8(a)(1),1,0,1,1,0,0,0,1,0,0,0
8(a)(1)(3),5,0,5,2,1,0,1,0,0,0,3
8(a)(1)(5),9,5,4,5,3,0,2,0,0,0,4
8(a)(1)(2)(3),4,1,3,3,2,0,1,0,0,0,1
"8(a)(1)(2)(3), 8(b)(1)(A)",2,0,2,2,2,0,0,0,0,0,0
8(a)(3),8,1,7,7,2,0,5,0,0,0,1
8(a)(3)(5),2,0,2,2,1,0,1,0,0,0,0
8(a)(5),2,1,1,1,0,0,0,1,0,0,1
8(b)(1)(A),1,0,1,1,1,0,0,0,0,0,0
8(b)(3),5,0,5,4,3,0,0,0,0,1,1
8(d),1,1,0,0,0,0,0,0,0,0,0
"Under sec. 10(l), total",238,22,216,207,107,8,51,22,8,11,31
8(b)(4)(A),9,0,9,8,4,1,1,0,0,2,1
8(b)(4)(B),129,14,115,119,62,2,32,11,4,8,10
8(b)(4)(C),5,2,3,3,2,0,1,0,0,0,2
8(b)(4)(D),8,0,8,8,0,0,3,4,1,0,0
8(b)(7)(A),10,1,9,8,8,0,0,0,0,0,2
8(b)(7)(B),1,0,1,0,0,0,0,0,0,0,1
8(b)(7)(C),25,2,23,19,9,1,5,2,2,0,6
8(e),11,1,10,7,1,0,1,1,1,0,4
