Industrial group,All cases,All-C (ULP) cases,CA,CB,CC,CD,CE,CG,CP,All-R (Representation) cases,RC,RM,RD,UD,AC,UC
Food and kindred products,1189,884,,,,,,,,264,208,8,48,2,2,16
Tobacco manufactures,6,5,5,0,0,0,0,0,0,1,1,0,0,0,0,0
Textile mill products,206,187,,,,,,,,19,13,0,6,0,0,0
Apparel and other finished products made from fabric and similar materials,421,339,,,,,,,,79,26,7,21,0,1,22
